統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,07609,4720,百萬美元,1421,新臺幣億元
外銷訂單金額,07610,4680,百萬美元,1403,新臺幣億元
外銷訂單金額,07611,4684,百萬美元,1393,新臺幣億元
外銷訂單金額,07612,4819,百萬美元,1393,新臺幣億元
外銷訂單金額,07701,4624,百萬美元,1322,新臺幣億元
外銷訂單金額,07702,4309,百萬美元,1233,新臺幣億元
外銷訂單金額,07703,5174,百萬美元,1482,新臺幣億元
外銷訂單金額,07704,5275,百萬美元,1511,新臺幣億元
外銷訂單金額,07705,5165,百萬美元,1478,新臺幣億元
外銷訂單金額,07706,5090,百萬美元,1460,新臺幣億元
外銷訂單金額,07707,5064,百萬美元,1453,新臺幣億元
外銷訂單金額,07708,5036,百萬美元,1443,新臺幣億元
外銷訂單金額,07709,4952,百萬美元,1429,新臺幣億元
外銷訂單金額,07710,5366,百萬美元,1547,新臺幣億元
外銷訂單金額,07711,5238,百萬美元,1473,新臺幣億元
外銷訂單金額,07712,5476,百萬美元,1542,新臺幣億元
外銷訂單金額,07801,5429,百萬美元,1507,新臺幣億元
外銷訂單金額,07802,4658,百萬美元,1288,新臺幣億元
外銷訂單金額,07803,6260,百萬美元,1723,新臺幣億元
外銷訂單金額,07804,5820,百萬美元,1569,新臺幣億元
外銷訂單金額,07805,5744,百萬美元,1483,新臺幣億元
外銷訂單金額,07806,5685,百萬美元,1480,新臺幣億元
外銷訂單金額,07807,5609,百萬美元,1448,新臺幣億元
外銷訂單金額,07808,5294,百萬美元,1360,新臺幣億元
外銷訂單金額,07809,5458,百萬美元,1404,新臺幣億元
外銷訂單金額,07810,5131,百萬美元,1321,新臺幣億元
外銷訂單金額,07811,5476,百萬美元,1425,新臺幣億元
外銷訂單金額,07812,5207,百萬美元,1361,新臺幣億元
外銷訂單金額,07901,4910,百萬美元,1281,新臺幣億元
外銷訂單金額,07902,5038,百萬美元,1316,新臺幣億元
外銷訂單金額,07903,5932,百萬美元,1563,新臺幣億元
外銷訂單金額,07904,5851,百萬美元,1543,新臺幣億元
外銷訂單金額,07905,5997,百萬美元,1618,新臺幣億元
外銷訂單金額,07906,5556,百萬美元,1522,新臺幣億元
外銷訂單金額,07907,5798,百萬美元,1575,新臺幣億元
外銷訂單金額,07908,5580,百萬美元,1523,新臺幣億元
外銷訂單金額,07909,5577,百萬美元,1523,新臺幣億元
外銷訂單金額,07910,5979,百萬美元,1632,新臺幣億元
外銷訂單金額,07911,5935,百萬美元,1617,新臺幣億元
外銷訂單金額,07912,5551,百萬美元,1507,新臺幣億元
外銷訂單金額,08001,5807,百萬美元,1578,新臺幣億元
外銷訂單金額,08002,5393,百萬美元,1462,新臺幣億元
外銷訂單金額,08003,6415,百萬美元,1750,新臺幣億元
外銷訂單金額,08004,6256,百萬美元,1710,新臺幣億元
外銷訂單金額,08005,6540,百萬美元,1784,新臺幣億元
外銷訂單金額,08006,6360,百萬美元,1728,新臺幣億元
