統計項目,資料期(民國年),統計值(美元),計量單位(美元),統計值(新台幣),計量單位(新台幣)
外銷訂單金額,10803,38631,百萬美元,11920,新臺幣億元
外銷訂單金額,10804,37709,百萬美元,11637,新臺幣億元
外銷訂單金額,10805,38760,百萬美元,12111,新臺幣億元
外銷訂單金額,10806,38537,百萬美元,12076,新臺幣億元
外銷訂單金額,10807,40566,百萬美元,12611,新臺幣億元
外銷訂單金額,10808,40083,百萬美元,12591,新臺幣億元
外銷訂單金額,10809,45559,百萬美元,14188,新臺幣億元
外銷訂單金額,10810,47312,百萬美元,14539,新臺幣億元
外銷訂單金額,10811,44567,百萬美元,13584,新臺幣億元
外銷訂單金額,10812,43817,百萬美元,13287,新臺幣億元
外銷訂單金額,10901,35365,百萬美元,10626,新臺幣億元
外銷訂單金額,10902,28740,百萬美元,8677,新臺幣億元
外銷訂單金額,10903,40321,百萬美元,12179,新臺幣億元
外銷訂單金額,10904,38586,百萬美元,11610,新臺幣億元
外銷訂單金額,10905,38947,百萬美元,11667,新臺幣億元
外銷訂單金額,10906,41048,百萬美元,12212,新臺幣億元
外銷訂單金額,10907,45615,百萬美元,13485,新臺幣億元
外銷訂單金額,10908,45534,百萬美元,13442,新臺幣億元
外銷訂單金額,10909,50071,百萬美元,14700,新臺幣億元
外銷訂單金額,10910,51637,百萬美元,14940,新臺幣億元
外銷訂單金額,10911,57834,百萬美元,16682,新臺幣億元
外銷訂單金額,10912,60603,百萬美元,17296,新臺幣億元
外銷訂單金額,11001,52775,百萬美元,15005,新臺幣億元
外銷訂單金額,11002,42663,百萬美元,12095,新臺幣億元
外銷訂單金額,11003,53723,百萬美元,15249,新臺幣億元
外銷訂單金額,11004,54998,百萬美元,15541,新臺幣億元
外銷訂單金額,11005,52364,百萬美元,14620,新臺幣億元
外銷訂單金額,11006,53812,百萬美元,14958,新臺幣億元
外銷訂單金額,11007,55388,百萬美元,15509,新臺幣億元
外銷訂單金額,11008,53607,百萬美元,14945,新臺幣億元
外銷訂單金額,11009,63020,百萬美元,17480,新臺幣億元
外銷訂單金額,11010,59228,百萬美元,16552,新臺幣億元
外銷訂單金額,11011,65670,百萬美元,18268,新臺幣億元
外銷訂單金額,11012,68022,百萬美元,18884,新臺幣億元
外銷訂單金額,11101,58956,百萬美元,16318,新臺幣億元
外銷訂單金額,11102,51666,百萬美元,14405,新臺幣億元
外銷訂單金額,11103,62801,百萬美元,17861,新臺幣億元
外銷訂單金額,11104,52054,百萬美元,15173,新臺幣億元
外銷訂單金額,11105,55583,百萬美元,16451,新臺幣億元
外銷訂單金額,11106,59009,百萬美元,17486,新臺幣億元
外銷訂單金額,11107,54430,百萬美元,16256,新臺幣億元
外銷訂單金額,11108,54761,百萬美元,16477,新臺幣億元
外銷訂單金額,11109,61107,百萬美元,19091,新臺幣億元
外銷訂單金額,11110,55576,百萬美元,17767,新臺幣億元
外銷訂單金額,11111,50309,百萬美元,15828,新臺幣億元
外銷訂單金額,11112,52327,百萬美元,16049,新臺幣億元
外銷訂單金額,11201,47702,百萬美元,14527,新臺幣億元
外銷訂單金額,11202,42290,百萬美元,12763,新臺幣億元
外銷訂單金額,11203,46759,百萬美元,14289,新臺幣億元
外銷訂單金額,11204,42653,百萬美元,13039,新臺幣億元
外銷訂單金額,11205,45810,百萬美元,14079,新臺幣億元
外銷訂單金額,11206,44297,百萬美元,13654,新臺幣億元
外銷訂單金額,11207,47846,百萬美元,14929,新臺幣億元
外銷訂單金額,11208,46146,百萬美元,14688,新臺幣億元
外銷訂單金額,11209,51484,百萬美元,16491,新臺幣億元
外銷訂單金額,11210,52945,百萬美元,17102,新臺幣億元
外銷訂單金額,11211,50713,百萬美元,16190,新臺幣億元
外銷訂單金額,11212,43886,百萬美元,13729,新臺幣億元
外銷訂單金額,11301,48494,百萬美元,15140,新臺幣億元
外銷訂單金額,11302,37804,百萬美元,11885,新臺幣億元
外銷訂單金額,11303,47229,百萬美元,14966,新臺幣億元
外銷訂單金額,11304,47166,百萬美元,15259,新臺幣億元
外銷訂單金額,11305,48957,百萬美元,15825,新臺幣億元
外銷訂單金額,11306,45626,百萬美元,14777,新臺幣億元
外銷訂單金額,11307,50103,百萬美元,16359,新臺幣億元
外銷訂單金額,11308,50286,百萬美元,16225,新臺幣億元
外銷訂單金額,11309,53862,百萬美元,17223,新臺幣億元
外銷訂單金額,11310,55529,百萬美元,17821,新臺幣億元
外銷訂單金額,11311,52341,百萬美元,16940,新臺幣億元
外銷訂單金額,11312,52992,百萬美元,17261,新臺幣億元
外銷訂單金額,11401,48035,百萬美元,15794,新臺幣億元
外銷訂單金額,11402,51611,百萬美元,16932,新臺幣億元
外銷訂單金額,11403,54922,百萬美元,18115,新臺幣億元
外銷訂單金額,11404,59060,百萬美元,19277,新臺幣億元
外銷訂單金額,11405,60781,百萬美元,18360,新臺幣億元
外銷訂單金額,11406,59753,百萬美元,17743,新臺幣億元
外銷訂單金額,11407,60511,百萬美元,17744,新臺幣億元
外銷訂單金額,11408,60084,百萬美元,18133,新臺幣億元
外銷訂單金額,11409,70341,百萬美元,21377,新臺幣億元
外銷訂單金額,11410,69434,百萬美元,21270,新臺幣億元
外銷訂單金額,11411,72999,百萬美元,22754,新臺幣億元
外銷訂單金額,11412,76198,百萬美元,23919,新臺幣億元
外銷訂單金額,11501,76907,百萬美元,24257,新臺幣億元
外銷訂單金額,11502,63877,百萬美元,20128,新臺幣億元
外銷訂單金額,11503,91125,百萬美元,29026,新臺幣億元
外銷訂單金額,11504,87449,百萬美元,27689,新臺幣億元
外銷訂單金額,11505,89475,百萬美元,28192,新臺幣億元
外銷訂單金額,11506,95262,百萬美元,30120,新臺幣億元
外銷訂單金額,11507,97939,百萬美元,31543,新臺幣億元
